X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
335.0,335.0,train,0.0010976205009574375,51.055554533976306,0.7115572402261452
336.0,336.0,train,0.0010585322687745296,47.00266494490204,0.6984996049706629
337.0,337.0,train,0.0013909794808516368,74.0855903429094,0.7931046205104988
338.0,338.0,train,5.851250893730952E-4,18.909073911469328,0.4845745455003728
339.0,339.0,train,4.391170082079711E-4,12.082941626916773,0.3918789887945734
340.0,340.0,train,6.0353460285205E-4,19.746462272600745,0.49521101051926664
341.0,341.0,train,2.856849952666684E-4,6.501008751687453,0.27645403092908316
342.0,342.0,train,9.241911039696863E-4,37.19182372165162,0.6489468661548088
343.0,343.0,train,1.017365452276433E-4,2.1399673683394362,0.1088437395699915
344.0,344.0,train,0.0014026330445525712,74.36564381300403,0.7958176571772084
345.0,345.0,train,0.0011572660948599388,58.52641898622235,0.7304006489843025
346.0,346.0,train,0.0012647146669956847,67.87818068795498,0.7612942665773285
347.0,347.0,train,0.0011026206283219096,51.90652174554674,0.7131862388950716
348.0,348.0,train,3.636776378044597E-4,8.500449694395265,0.33763089530817314
349.0,349.0,train,0.001101701822177661,51.62402502714629,0.7128875912099879
350.0,350.0,train,0.0010991540903478737,51.37496262778076,0.7120578517699563
351.0,351.0,train,0.001086580637895443,49.52729783738899,0.7079277069206126
352.0,352.0,train,0.0015914665882551051,85.02259167704328,0.8351354132312114
353.0,353.0,train,7.910904032381698E-4,29.2474322598375,0.5918238590905271
354.0,354.0,train,1.060111810073004E-4,2.25966914853683,0.11314812630786986
355.0,355.0,train,0.001123249090021272,55.189083995785644,0.719810115137469
356.0,356.0,train,0.0010626086146215338,47.4901781503304,0.6998884888831776
357.0,357.0,train,0.0014623817682034171,76.95373100182489,0.809178787336668
358.0,358.0,train,6.497275367611432E-4,22.25134502135915,0.5209435493035028
359.0,359.0,train,2.859376160126097E-4,6.507230118034107,0.27666103661628105
